"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000189221",2373.80530666857,3.39828301942802,0.136171883598162,24.9558347114903,1.8456220768239e-137,3.11873218541702e-133,"MAOA","4128"
"ENSG00000120129",3420.72722668767,2.9739357243293,0.120299776897548,24.7210410611321,6.3533117324538e-135,5.36791308275021e-131,"DUSP1","1843"
"ENSG00000101347",14125.5841210142,3.75332984204322,0.156399284621378,23.9983824167069,2.89105315106067e-127,1.6284338715541e-123,"SAMHD1","25939"
"ENSG00000196136",2710.21742603852,3.24734474548133,0.14300081383603,22.7085752756963,3.68599767004109e-114,1.55714971570886e-110,"SERPINA3","12"
"ENSG00000152583",974.737366684742,4.5046035278135,0.199168557245301,22.6170415155717,2.94583282983924e-113,9.9557366317247e-110,"SPARCL1","8404"
"ENSG00000211445",12512.7915263227,3.77212369984191,0.167464107619007,22.5249682064635,2.36329541177546e-112,6.65582764469694e-109,"GPX3","2878"
"ENSG00000162614",5511.42886062423,2.01143197690814,0.0916516989267828,21.9464778117752,9.35767840574373e-107,2.25894356714654e-103,"NEXN","91624"
"ENSG00000157214",3032.09554258641,2.01585616871016,0.0932195709684722,21.6248170611291,1.049325998581e-103,2.21643884050273e-100,"STEAP2","261729"
"ENSG00000154734",29608.2224675216,2.24074279397194,0.109100747264967,20.5382900680778,9.79507974932956e-94,1.83908064004634e-90,"ADAMTS1","9510"
"ENSG00000125148",3691.40735646806,2.23631771698577,0.109076640464801,20.502260680713,2.05520500758555e-93,3.47288542181806e-90,"MT2A","4502"
"ENSG00000109906",438.193981971508,6.3774956946209,0.313810465986261,20.322762896315,8.08930656591993e-92,1.2426645668265e-88,"ZBTB16","7704"
"ENSG00000134243",5543.59360082063,2.20367729584929,0.113059109035657,19.4913732705454,1.29946601786727e-84,1.82986473082676e-81,"SORT1","6272"
"ENSG00000139132",1215.52553921277,2.15357770085672,0.111944090788683,19.2379757223813,1.7802630531275e-82,2.3140680824422e-79,"FGD4","121512"
"ENSG00000127954",493.200428518741,4.74668285060164,0.249950398667565,18.990499218666,2.04376377415959e-80,2.46682287541063e-77,"STEAP4","79689"
"ENSG00000178695",2646.11820131036,-2.5317404751279,0.1367816532333,-18.5093571782589,1.73559423456163e-76,1.95520475837483e-73,"KCTD12","115207"
"ENSG00000106484",942.144729137826,-2.03422440562416,0.112373201870915,-18.1023978293411,3.05092181732719e-73,3.22215480432468e-70,"MEST","4232"
"ENSG00000162692",504.943122753552,-3.6737044641795,0.204815508906657,-17.9366517886776,6.10230137692429e-72,6.06568756866274e-69,"VCAM1","7412"
"ENSG00000166741",7493.99425894884,2.24432150767474,0.127527879790619,17.5986734144688,2.52161716734245e-69,2.36723816076404e-66,"NNMT","4837"
"ENSG00000145390",8699.60480031948,2.2956037172515,0.132352560355809,17.3446113250861,2.1663854834394e-67,1.92671483679784e-64,"USP53","54532"
"ENSG00000179094",773.192105758149,3.12934753643938,0.181886517161372,17.2049450683746,2.43807877088624e-66,2.05993275352179e-63,"PER1","5187"
"ENSG00000198624",2038.17767002042,2.84949974224054,0.165798183362573,17.1865558744342,3.34842009177334e-66,2.69436203384695e-63,"CCDC69","26112"
"ENSG00000253368",1047.13743381845,2.0265003461638,0.118032975811302,17.1689337851106,4.53677044500342e-66,3.48465213543944e-63,"TRNP1","388610"
"ENSG00000163884",566.217643764746,4.51505751786638,0.263362177018131,17.1439102189512,6.97951250075475e-66,5.12781748859799e-63,"KLF15","28999"
"ENSG00000119139",5707.07700588364,1.96815762162501,0.116185755112356,16.9397497973976,2.29096944514025e-64,1.61303340349916e-61,"TJP2","9414"
"ENSG00000124766",1280.04219568706,-2.38496644558718,0.144546412760727,-16.4996584836394,3.68973444147529e-61,2.49396530368198e-58,"SOX4","6659"
"ENSG00000126016",401.009712736367,-2.58073415734317,0.157045529244973,-16.4330316803703,1.10969617979583e-60,7.21217155622692e-58,"AMOT","154796"
"ENSG00000163661",9819.06486685456,2.25554682500588,0.13748202575812,16.4061215462026,1.72903983021743e-60,1.08212277966719e-57,"PTX3","5806"
"ENSG00000146250",309.821805030152,-2.72219521507714,0.166240426849762,-16.3750494790133,2.882729208081e-60,1.73972707707689e-57,"PRSS35","167681"
"ENSG00000163394",1173.06977218889,-2.17917506410426,0.133865133718075,-16.2788846025708,1.39386398502669e-59,7.85117120632698e-57,"CCKAR","886"
"ENSG00000163083",422.293738869504,3.48710788299701,0.217199944638458,16.0548285995262,5.28848080242165e-58,2.88273382578455e-55,"INHBB","3625"
"ENSG00000136478",3708.27847381302,1.49648208671137,0.0939205119423942,15.9334958441158,3.71021423003129e-57,1.9592250018459e-54,"TEX2","55852"
"ENSG00000262655",1635.2341311335,1.79195777957271,0.112796039858746,15.886708272886,7.83344675290501e-57,4.01119949183603e-54,"SPON1","10418"
"ENSG00000116285",3248.61226378841,2.43663836314457,0.155510687879981,15.6686231432859,2.47891363953963e-55,1.2320200788512e-52,"ERRFI1","54206"
"ENSG00000165995",562.819490767498,3.13896331629612,0.200972578514578,15.618863725075,5.41622619145564e-55,2.61495400523478e-52,"CACNB2","783"
"ENSG00000162493",1058.95180872109,1.77604543816378,0.113869294013096,15.5972288539835,7.60231153634109e-55,3.56844056503033e-52,"PDPN","10630"
"ENSG00000105989",349.543265584188,-3.04567552638688,0.196122301199428,-15.5294706811025,2.19181480991511e-54,1.00100774751204e-51,"WNT2","7472"
"ENSG00000196569",17943.3606496474,2.03779872600254,0.131385172449031,15.5101118948036,2.96361977035161e-54,1.31787491787899e-51,"LAMA2","3908"
"ENSG00000154930",659.157857258504,1.87505708105077,0.121079103268091,15.4862154611358,4.29860936050523e-54,1.86251028137993e-51,"ACSS1","84532"
